latitude,longitude,subset,label
11.84054022,22.74637892,training,0.0
12.18574917,23.03536834,training,0.0
12.95477837,23.95560996,testing,0.0
11.55239134,23.60506043,training,0.0
12.66693461,23.64502567,testing,0.0
13.10415489,23.82788247,testing,0.0
12.39112188,23.87074965,validation,0.0
13.05959951,23.46444832,validation,0.0
12.69686716,24.06819728,training,0.0
13.01115147,23.3696282,validation,0.0
12.63460228,24.00548154,testing,0.0
12.24961381,23.22158104,training,0.0
12.60944315,23.41749994,training,0.0
12.82252472,22.9220986,testing,0.0
11.51501886,22.72714543,testing,0.0
12.40242095,23.83629489,training,0.0
13.42892852,23.52811563,training,0.0
13.43225757,23.38750311,testing,0.0
13.20337957,23.52195153,training,0.0
11.95491528,22.98617884,validation,0.0
11.56023633,23.56324635,training,0.0
11.92039098,22.88057234,validation,0.0
13.06718234,23.39949317,training,0.0
13.23419671,23.35554254,validation,0.0
12.68225214,24.08202346,training,0.0
12.98670395,23.37605729,validation,0.0
12.47458792,23.50838046,testing,0.0
10.94209668,23.24486965,testing,0.0
11.6194871,23.42587344,testing,0.0
12.51014675,22.8674442,training,0.0
12.81071702,23.42593244,validation,0.0
12.38849395,22.95904338,training,0.0
11.28513463,23.61026705,validation,0.0
13.14549098,24.26288216,training,0.0
12.81319809,22.89725955,testing,0.0
11.12192598,23.35052651,training,0.0
12.71084253,23.85977573,training,0.0
11.88671366,23.66108721,training,0.0
11.3786266,23.18463581,training,0.0
12.10191298,23.91645604,training,0.0
12.61395935,23.72627507,training,0.0
11.46764991,23.39126715,testing,1.0
13.24842494,23.29141559,testing,0.0
13.23742487,24.06769751,training,0.0
12.6631017,23.83280524,training,0.0
12.24602646,22.94068995,training,0.0
12.83196623,23.35198232,validation,0.0
10.97761217,23.05175738,testing,0.0
13.4230839,23.58938114,testing,0.0
12.69667914,23.47272712,training,1.0
12.54360569,22.66630575,validation,0.0
12.83120237,23.1372022,testing,1.0
13.28656292,23.69717866,validation,0.0
12.51679225,23.08150897,testing,0.0
12.21987479,24.0927342,validation,1.0
11.44315515,23.63558286,testing,0.0
13.26074722,24.49234001,training,1.0
13.47663916,23.36655592,validation,0.0
12.54457007,23.58841549,validation,0.0
12.71556205,23.48926465,testing,0.0
11.6859721,22.91627839,testing,0.0
11.28207411,23.52896302,validation,0.0
12.72660135,23.14192131,validation,0.0
13.31439062,24.46371604,training,1.0
11.65935518,23.49216999,testing,0.0
11.10657114,23.11016231,training,0.0
13.31792877,23.30280351,training,0.0
11.56839539,22.86228878,training,0.0
11.94768754,22.69122071,testing,0.0
12.38539658,23.40272203,validation,1.0
11.33282676,23.44965574,testing,0.0
11.30821016,23.60328305,testing,1.0
12.22014821,24.01005892,training,0.0
12.71891586,23.89360349,testing,0.0
12.96720229,23.16398056,validation,0.0
11.98036316,23.16893083,training,0.0
11.5887576,23.46489364,training,0.0
13.07294547,24.24048002,validation,0.0
13.11140486,23.03448942,testing,0.0
12.88508701,22.84930925,validation,0.0
11.68316466,23.51374847,validation,0.0
12.97076009,23.7483984,testing,0.0
12.45543837,24.02779779,validation,1.0
12.13723705,23.93420834,testing,0.0
11.44588821,23.19637072,testing,0.0
13.07557953,23.54192077,validation,0.0
13.02892563,24.27795931,testing,0.0
12.01186044,23.19277091,validation,0.0
12.41236941,23.16617025,training,0.0
12.56583322,22.68216961,training,0.0
12.23918774,22.98918403,testing,0.0
13.14804699,23.11655165,testing,0.0
12.38338316,24.19617643,testing,0.0
11.64636974,22.66354717,training,0.0
12.4900191,22.78337448,training,0.0
12.56817862,23.92041987,testing,0.0
12.22288552,23.92731118,training,0.0
13.44592839,23.71826459,testing,0.0
