is_crop,latitude,longitude,subset
0.0,11.94000133,34.82718809,validation
0.0,10.30360635,33.95166814,training
0.0,10.78241214,34.13902772,training
0.0,11.36756088,34.06739611,validation
0.0,11.1095114,34.95875051,testing
1.0,11.93295061,33.66509489,testing
1.0,11.8477843,33.72357244,testing
0.0,11.69744467,34.93959258,training
0.0,9.78480157,34.05819528,validation
0.0,11.45775234,33.97976131,training
0.0,12.29203096,34.06824885,testing
1.0,12.09435985,33.6210028,training
0.0,11.6455341,34.78674941,training
1.0,11.31551728,33.47759564,testing
0.0,10.92352969,34.74199638,testing
0.0,12.51344866,34.13214073,testing
0.0,11.24970628,34.54241874,validation
0.0,11.22623675,34.76531202,testing
0.0,10.91375618,34.29672314,validation
0.0,10.71672193,34.31463177,testing
0.0,10.40661194,34.27200565,testing
0.0,11.60784472,34.34868649,validation
0.0,9.74913528,34.06725986,validation
0.0,12.32961092,34.64785394,training
0.0,10.73769147,34.19960289,testing
0.0,12.24014259,34.75944942,validation
0.0,11.3886099,34.93174457,validation
1.0,11.61960355,34.01361969,testing
0.0,11.04969189,34.34870699,validation
1.0,12.22568703,34.38457516,testing
0.0,11.85321932,33.58494366,testing
0.0,11.74232477,33.38524399,training
0.0,11.33635694,33.17635785,training
0.0,11.20628133,34.96268168,training
0.0,10.73740737,34.27262933,testing
1.0,11.57592704,33.53907344,validation
0.0,10.63033124,33.49471707,validation
0.0,12.20354979,34.59413583,testing
1.0,12.62400381,34.47235065,validation
1.0,11.67192622,33.20283284,testing
0.0,10.0278429,33.99658011,testing
0.0,10.7987134,34.05712673,validation
0.0,10.62572863,33.72625453,validation
1.0,11.49116596,34.39201251,testing
1.0,11.58873895,33.93895707,training
0.0,11.31761814,34.89122595,training
0.0,10.77366657,33.93893312,training
0.0,10.30462344,34.00285584,training
0.0,11.18455781,33.40864368,validation
0.0,11.2954957,34.08943364,training
0.0,12.35290822,34.64347654,testing
0.0,10.47786269,34.10454804,testing
1.0,12.10753538,34.04734971,testing
0.0,12.11858292,34.89038511,testing
0.0,11.18709206,34.78238355,testing
1.0,12.31939144,34.42406615,training
0.0,10.93995344,33.6503793,validation
0.0,12.27907843,34.71960916,testing
0.0,11.16256291,33.35851894,validation
0.0,11.28549709,34.48961152,testing
1.0,11.75430719,34.63035987,training
0.0,11.79048497,34.43665917,testing
0.0,11.55367991,34.94759044,training
0.0,11.21851505,33.852265,training
0.0,10.74915499,33.68098583,training
0.0,10.41670337,34.21588912,training
0.0,10.24061263,34.07042788,training
0.0,10.53184478,33.91572107,training
0.0,11.02556531,33.79277953,testing
0.0,10.92541423,34.15499303,testing
0.0,11.37250138,34.09222887,training
0.0,10.84177678,34.48611192,validation
1.0,12.00278219,33.6218791,testing
0.0,12.41565564,34.5330051,testing
0.0,10.75952226,33.32854602,training
0.0,11.24626437,33.86379682,validation
0.0,11.68414972,33.92137623,training
0.0,11.07907829,34.89583891,validation
0.0,11.08970477,34.11251772,testing
1.0,12.02595367,33.61354504,training
0.0,11.36613821,34.82287396,training
0.0,12.1010084,34.56631863,validation
1.0,11.60595686,33.39032752,training
0.0,11.10210635,34.94424478,validation
1.0,11.67969628,34.26833184,validation
0.0,11.93964712,34.74598413,validation
0.0,11.90396724,35.12899948,testing
0.0,11.41750888,34.18889542,testing
0.0,11.0358192,34.78850859,testing
1.0,12.24614545,34.29418528,validation
0.0,11.60891097,34.73142033,testing
0.0,10.28899024,34.12990395,validation
1.0,12.11078719,33.92585098,training
1.0,11.55644637,33.21152465,testing
0.0,11.46065071,33.93218635,testing
0.0,9.9509423,34.055606,testing
0.0,11.4791106,33.14998257,testing
0.0,10.5913515,34.21725135,testing
1.0,12.00055156,33.8749143,training
0.0,12.34438735,34.09574225,training
0.0,10.98655022,34.34320546,validation
1.0,11.69267583,33.33972835,training
1.0,12.04038147,34.36782307,training
0.0,11.68768119,34.88525901,testing
0.0,11.15646962,34.75660327,training
0.0,10.91241364,34.69848303,validation
0.0,10.94812513,34.64581371,training
1.0,12.40929645,34.08716041,training
0.0,11.64014965,35.03449811,testing
0.0,10.16281038,34.2640443,testing
0.0,12.14146869,33.27600852,testing
0.0,12.01030955,34.91879944,validation
0.0,11.31060595,33.96281982,training
0.0,9.77991498,33.94148377,training
1.0,11.66391656,33.50594381,validation
0.0,11.43795071,33.13383871,validation
0.0,10.41416202,34.06073124,testing
1.0,11.92984927,33.58453687,testing
0.0,10.83111086,33.6841435,testing
0.0,10.8325744,33.23414829,training
1.0,11.88400876,34.22062538,testing
0.0,10.83899175,33.3768265,validation
0.0,10.66542005,34.00173826,training
0.0,10.8227167,33.92699339,validation
1.0,11.71127058,34.23592019,training
0.0,10.91761029,34.72645803,training
1.0,11.97176382,33.9066483,testing
0.0,10.26767041,33.97468947,validation
0.0,12.52745311,34.01957682,testing
0.0,10.97096445,33.37741317,testing
0.0,11.03934235,34.39935723,testing
0.0,11.48348851,34.5267825,validation
1.0,11.5168857,34.67063859,validation
0.0,11.00047494,34.54186645,testing
1.0,11.9532509,33.56289734,training
0.0,11.36177046,34.16965528,testing
0.0,12.43455512,34.64293552,testing
0.0,11.19312383,33.78501029,validation
0.0,10.81486299,33.42076521,training
0.0,11.15918076,33.6813186,testing
1.0,11.51104664,34.26855766,validation
0.0,10.80166166,34.18054922,training
0.0,10.77742377,34.39376036,testing
1.0,12.03910568,34.69112142,training
0.0,10.67377613,33.68661121,validation
0.0,10.8157713,34.05927532,validation
1.0,11.73256942,34.06764047,validation
1.0,11.59274476,33.74028882,validation
0.0,12.36822126,34.0569273,testing
0.0,11.88753392,34.50055888,training
1.0,11.49051001,33.16797921,testing
1.0,11.83882647,34.52821625,testing
1.0,11.91921029,33.55117342,testing
0.0,10.53733748,34.03496139,validation
0.0,10.83742154,33.43047501,validation
0.0,10.8818874,34.93621049,testing
1.0,11.77891009,34.00686256,validation
0.0,9.87832753,34.16564787,testing
0.0,10.72802319,33.18577549,validation
1.0,11.46306374,34.34456905,testing
0.0,11.13388101,34.53903585,validation
0.0,10.9573856,33.81223675,validation
0.0,11.14701593,34.38815303,training
0.0,11.0620143,34.28297235,testing
1.0,11.6860336,34.70791315,testing
0.0,12.0607895,34.90652982,testing
0.0,10.94902409,33.74997417,training
0.0,11.17452859,33.51585995,training
1.0,11.86670769,34.47240708,testing
